ISO_A3,ISO_num,developed_or_developing,region,subregion,name_formal,name_display,lng,lat
AFG,004,Developing,Asia,Southern Asia,the Islamic Republic of Afghanistan,Afghanistan,65.92950623591709,33.81971288955854
ALB,008,Developed,Europe,Southern Europe,the Republic of Albania,Albania,20.05582590068803,41.13486766726118
DZA,012,Developing,Africa,Northern Africa,the People's Democratic Republic of Algeria,Algeria,2.665808151497131,28.044456819121088
ASM,016,Developing,Oceania,Polynesia,,American Samoa,-170.39899891753294,-14.25518111009397
AND,020,Developed,Europe,Southern Europe,the Principality of Andorra,Andorra,1.56073706086547,42.54131525236483
AGO,024,Developing,Africa,Sub-Saharan Africa,the Republic of Angola,Angola,17.531465139225705,-12.269565872574479
AIA,660,Developing,Americas,Latin America and the Caribbean,,Anguilla,-63.05857974633932,18.225693306885038
ATG,028,Developing,Americas,Latin America and the Caribbean,Antigua and Barbuda,Antigua & Barbuda,-61.79172006383591,17.28397968430135
ARG,032,Developing,Americas,Latin America and the Caribbean,the Argentine Republic,Argentina,-64.76085380013933,-34.689208096361504
ARM,051,Developing,Asia,Western Asia,the Republic of Armenia,Armenia,44.94070246601974,40.28594141725816
ABW,533,Developing,Americas,Latin America and the Caribbean,,Aruba,-69.97418382641978,12.516931408742733
AUS,036,Developed,Oceania,Australia and New Zealand,Australia,Australia,134.30380407691032,-25.76336396181924
AUT,040,Developed,Europe,Western Europe,the Republic of Austria,Austria,14.114629264238102,47.59236418311721
AZE,031,Developing,Asia,Western Asia,the Republic of Azerbaijan,Azerbaijan,47.54386910482845,40.287436758457076
BHS,044,Developing,Americas,Latin America and the Caribbean,the Commonwealth of the Bahamas,Bahamas,-76.51174245442161,24.21312827038147
BHR,048,Developing,Asia,Western Asia,the Kingdom of Bahrain,Bahrain,50.54663855955117,26.05268971022782
BGD,050,Developing,Asia,Southern Asia,the People's Republic of Bangladesh,Bangladesh,90.25095722280227,23.838909113165005
BRB,052,Developing,Americas,Latin America and the Caribbean,Barbados,Barbados,-59.56120166181846,13.181041215874654
BLR,112,Developed,Europe,Eastern Europe,the Republic of Belarus,Belarus,28.016366841241524,53.520054866643726
BEL,056,Developed,Europe,Western Europe,the Kingdom of Belgium,Belgium,4.647194101819663,50.636746628885646
BLZ,084,Developing,Americas,Latin America and the Caribbean,Belize,Belize,-88.69482810446593,17.206304756883753
BEN,204,Developing,Africa,Sub-Saharan Africa,the Republic of Benin,Benin,2.3274989248327995,9.635060023836878
BMU,060,Developed,Americas,Northern America,,Bermuda,-64.763539397006,32.310137631493234
BTN,064,Developing,Asia,Southern Asia,the Kingdom of Bhutan,Bhutan,90.40478396552089,27.42271174051712
BOL,068,Developing,Americas,Latin America and the Caribbean,the Plurinational State of Bolivia,Bolivia,-64.69780469334243,-16.68067874431776
BIH,070,Developed,Europe,Southern Europe,Bosnia and Herzegovina,Bosnia,17.77950459017893,44.168659520476005
BWA,072,Developing,Africa,Sub-Saharan Africa,the Republic of Botswana,Botswana,23.809129442781433,-22.166903129847157
BRA,076,Developing,Americas,Latin America and the Caribbean,the Federative Republic of Brazil,Brazil,-53.210123337295826,-10.632064820872491
IOT,086,Developing,Africa,Sub-Saharan Africa,,British Indian Ocean Territory,72.29823103061611,-7.144003111155462
VGB,092,Developing,Americas,Latin America and the Caribbean,,British Virgin Islands,-64.50302587537021,18.509846707150956
BRN,096,Developing,Asia,South-eastern Asia,Brunei Darussalam,Brunei,114.72718317585581,4.516494018999225
BGR,100,Developed,Europe,Eastern Europe,the Republic of Bulgaria,Bulgaria,25.211124056522287,42.77083387720839
BFA,854,Developing,Africa,Sub-Saharan Africa,Burkina Faso,Burkina Faso,-1.7621008409974273,12.27073138522289
