Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1995 [YR1995],2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2017 [YR2017]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,12249114,17099541,20093756,25070798,28803167,33736494,35530081
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,9762978844.07633,15936800636.2487,20918533234.6796,21969414112.4281
Albania,ALB,"Population, total",SP.POP.TOTL,3286542,3187784,3089027,3011487,2913021,2880703,2873457
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6401801081.44935,5625480181.64411,7221967155.94539,9604821915.17285,11926953258.916,13034156787.8592,13988555742.8063
Algeria,DZA,"Population, total",SP.POP.TOTL,25912367,28904298,31183660,33288437,36117637,39871528,41318142
Algeria,DZA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,91989749446.9795,93174668346.0474,110423586430.994,142251902308.528,161207268655.392,189772334940.908,199367413967.446
American Samoa,ASM,"Population, total",SP.POP.TOTL,47038,52868,57521,59118,55637,55537,55641
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,629286343.612335,576000000,548933920.704846,..
Andorra,AND,"Population, total",SP.POP.TOTL,54509,63850,65390,78867,84449,78014,76965
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1950360346.83369,2101791877.24365,2668012839.88281,3851227772.83026,3355695364.23841,3258326510.42858,3382068237.52481
Angola,AGO,"Population, total",SP.POP.TOTL,12171441,14268994,16440924,19552542,23369131,27859305,29784193
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,25003728530.4399,21064333691.2228,28285157247.5007,46688056705.4167,82526143645.0623,103887446990.918,103785984479.995
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,66696,73619,83584,89253,94661,99923,102012
Antigua and Barbuda,ATG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,692325010.739955,768634400.789226,1001496497.16983,1147540485.65063,1152469074.07407,1276193331.63173,1389236109.8626
Argentina,ARG,"Population, total",SP.POP.TOTL,32729739,34994814,37057452,39145488,41223889,43417765,44271041
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,194406693571.09,267011210297.951,303229512290.352,333618311350.415,423627422092.49,455825423287.839,460334377833.471
Armenia,ARM,"Population, total",SP.POP.TOTL,3538165,3217342,3069588,2981259,2877311,2916950,2930450
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,6357857589.72256,3357435176.13862,4310688308.03981,7667755681.51717,9260284937.79782,11479040584.7388,12364648565.4688
Aruba,ABW,"Population, total",SP.POP.TOTL,62149,80324,90853,100031,101669,104341,105264
Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,2467703910.61453,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,17065100,18072000,19153000,20394800,22031750,23850784,24598933
Australia,AUS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,612582484286.091,688424992380.96,848732984009.725,994457691605.883,1144260547872.81,1312204498894.69,1375718249724.1
Austria,AUT,"Population, total",SP.POP.TOTL,7677850,7948278,8011566,8227829,8363404,8642699,8809212
Austria,AUT,GDP (constant 2010 US$),NY.GDP.MKTP.KD,260194624813.073,290414126234.635,336495475309.688,367272649488.203,391892746544.69,414033189912.921,432789834749.335
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,7159000,7685000,8048600,8391850,9054332,9649341,9862429
Azerbaijan,AZE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,22325675014.6271,9345558792.93588,13146538452.8659,24751281715.9126,52902703376.1056,59025316698.5035,57252727186.9126
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,256336,280150,297890,329249,360832,386838,395361
"Bahamas, The",BHS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,7606466024.82856,7570107957.44229,9409627491.5515,10214307272.5531,10095760000,10521571019.7704,10492464084.5963
Bahrain,BHR,"Population, total",SP.POP.TOTL,495931,563699,664614,889168,1240862,1371855,1492584
Bahrain,BHR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,8894395055.67055,12350780310.4502,15256276507.3657,19620444333.8462,25713271276.5957,30779223483.5898,33003237140.6953
Bangladesh,BGD,"Population, total",SP.POP.TOTL,106188642,118706871,131581243,143431101,152149102,161200886,164669751
Bangladesh,BGD,GDP (constant 2010 US$),NY.GDP.MKTP.KD,42420657179.7908,52933639390.898,67013463192.5145,85860356477.7026,115279077465.226,156629549345.307,179992151721.964
Barbados,BRB,"Population, total",SP.POP.TOTL,260374,264959,269847,274009,279569,284217,285719
Barbados,BRB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3653267319.44252,3498370690.99894,4057270373.79799,4301961205.24564,4461650000,4546917436.40184,4715357332.99045
Belarus,BLR,"Population, total",SP.POP.TOTL,10189000,10194000,9979610,9663915,9490583,9489616,9507875
Belarus,BLR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,31610993224.6745,20639738139.7908,28029670685.9076,40244040518.2926,57222490768.7143,60721108489.7286,60620473815.135
Belgium,BEL,"Population, total",SP.POP.TOTL,9967379,10136811,10251250,10478617,10895586,11274196,11372068
Belgium,BEL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,329971629163.815,357103043851.13,411797007026.657,450521469885.385,483548031197.108,507929197181.313,524012714948.032
Belize,BLZ,"Population, total",SP.POP.TOTL,187552,206963,247315,283277,321608,359288,374681
Belize,BLZ,GDP (constant 2010 US$),NY.GDP.MKTP.KD,534342136.074958,708659134.575871,949415695.712415,1230025245.97225,1397113450,1610507255.18119,1616832814.04701
Benin,BEN,"Population, total",SP.POP.TOTL,4978496,5905558,6865951,7982225,9199259,10575952,11175692
Benin,BEN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3033624750.94295,3727418268.32545,4766643561.74839,5772744795.73959,6970240895.49888,8755148067.02613,9610566350.93653
Bermuda,BMU,"Population, total",SP.POP.TOTL,59326,59746,61833,64154,65124,65239,65441
Bermuda,BMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,3763005273.45173,3924772345.29896,4945919646.2653,5620941625.4668,5744414000,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,537280,514877,573416,656639,727641,787386,807610
Bhutan,BTN,GDP (constant 2010 US$),NY.GDP.MKTP.KD,424030689.295613,506259233.805762,688733275.071953,1007823159.38045,1585472534.10547,2069399707.46106,2387142613.64128
Bolivia,BOL,"Population, total",SP.POP.TOTL,6856244,7566714,8339512,9125409,9918242,10724705,11051600
Bolivia,BOL,GDP (constant 2010 US$),NY.GDP.MKTP.KD,9312431983.67648,11383339904.468,13481147690.5693,15696607186.4403,19649631308.1648,25664047181.8707,27880909289.0244
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4463422,3843712,3766706,3781530,3722084,3535961,3507017
Bosnia and Herzegovina,BIH,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,3332270264.77958,11310743278.9328,14922131712.6024,17176781336.7644,18352676372.9938,19503531387.5533
Botswana,BWA,"Population, total",SP.POP.TOTL,1377912,1569094,1728340,1855852,2014866,2209197,2291661
Botswana,BWA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,5318752174.48613,6649141424.18378,8563534596.26097,10230961745.6804,12786654365.8738,16146492036.747,17240661435.0594
Brazil,BRA,"Population, total",SP.POP.TOTL,149352145,162296612,175287587,186917361,196796269,205962108,209288278
Brazil,BRA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1192883828728,1387477228552.53,1538900699686.93,1774870932268.27,2208871646202.82,2337992410593.76,2278936372567.31
